senador,codigo,gastos
acir gurgacz,4981,4477.77
aecio neves,391,2881.10
aloysio nunes,846,5556.77
alvaro dias,945,10374.98
ana amelia,4988,6651.80
angela portela,4697,6810.76
antonio anastasia,5529,4894.34
antonio carlos valadares,3,6767.71
armando monteiro,715,3458.5
ataides oliveira,5164,11125.85
benedito de lira,3823,10009.87
cassio cunha lima,5197,8643.43
cidinho santos,5108,8197.63
ciro nogueira,739,10454.4
dalirio beber,5132,9366.96
dario berger,5537,7959.47
davi alcolumbre,3830,8912.64
edison lobao,16,9240.18
eduardo amorim,4821,4704.34
eduardo braga,4994,6087.65
eduardo lopes,4767,10461.34
elmano ferrer,5531,10040.99
eunicio oliveira,612,6240.53
fatima bezerra,3713,3184.20
fernando bezerra coelho,5540,6025.85
fernando collor,4225,4975.01
flexa ribeiro,3634,11535.83
garibaldi alves filho,87,6963.78
gladson cameli,4558,6940.51
gleisi hoffmann,5006,8882.83
helio jose,5100,9936.44
humberto costa,5008,8966.39
ivo cassol,5004,4241.92
joao alberto souza,950,7194.79
jorge viana,4990,5586.29
jose agripino,40,11102.93
jose anibal,878,1576.955
jose maranhao,3361,3554.643
jose medeiros,5112,5532.01
jose pimentel,615,2422.27
jose serra,90,2569.29
katia abreu,1249,11694.94
lasier martins,5533,6732.21
lidice da mata,4575,8277.60
lindbergh farias,3695,6692.96
lucia vania,643,9225.04
magno malta,631,10342.36
marcelo crivella,3366,1587.02
maria do carmo alves,1023,8596.74
marta suplicy,5000,7465.49
omar aziz,5525,4170.55
otto alencar,5523,5720.31
paulo bauer,3741,4928.09
paulo paim,825,10860.44
paulo rocha,374,2595.35
pedro chaves,5116,8287.22
raimundo lira,2207,3472.67
randolfe rodrigues,5012,10532.98
regina sousa,5182,5690.95
renan calheiros,70,11130.27
ricardo ferraco,635,4090.57
roberto muniz,5052,4594.39
roberto requiao,72,11085.57
roberto rocha,677,7636.85
romario,5322,5347.25
romero juca,73,8587.37
ronaldo caiado,456,5443.24
rose de freitas,2331,8639.11
sergio petecao,4560,6977.25
simone tebet,5527,3989.485
tasso jereissati,3396,4528.03
telmario mota,5535,8394.20
valdir raupp,3372,10149.81
vanessa grazziotin,558,11319.61
vicentinho alves,4763,11446.57
waldemir moka,1176,3970.05
wellington fagundes,1173,5105.55
wilder morais,5070,4167.03
zeze perrella,5144,1441.591
