nome,crédito
senador1023.jpg,Senado Federal
senador111.jpg,Senado Federal
senador1173.jpg,Senado Federal
senador1176.jpg,Senado Federal
senador1249.jpg,Beto Oliveira/Supres
senador16.jpg,Senado Federal
senador2207.jpg,Senado Federal
senador2331.jpg,Senado Federal
senador2632.jpg,Senado Federal
senador3.jpg,Cléber Medeiros/Supres
senador3360.jpg,Cléber Medeiros/Supres
senador3361.jpg,Senado Federal
senador3366.jpg,Senado Federal
senador3372.jpg,Cléber Medeiros/Supres
senador3394.jpg,Rodrigo Viana/Supres
senador3396.jpg,Senado Federal
senador3398.jpg,Senado Federal
senador35.jpg,Senado Federal
senador3579.jpg,Senado Federal
senador3597.jpg,Senado Federal
senador3634.jpg,Beto Oliveira/Supres
senador3695.jpg,Cléber Medeiros/Supres
senador3713.jpg,Senado Federal
senador374.jpg,Senado Federal
senador3741.jpg,Cléber Medeiros/Supres
senador3823.jpg,Cléber Medeiros/Supres
senador3830.jpg,Senado Federal
senador3881.jpg,Senado Federal
senador391.jpg,Senado Federal
senador40.jpg,Cléber Medeiros/Supres
senador4522.jpg,Senado Federal
senador4525.jpg,Senado Federal
senador4558.jpg,Senado Federal
senador456.jpg,Senado Federal
senador4560.jpg,Cléber Medeiros/Supres
senador4575.jpg,Senado Federal
senador4593.jpg,Cléber Medeiros/Supres
senador4606.jpg,Jefferson Rudy/Agência Senado
senador4697.jpg,Cléber Medeiros/Supres
senador4721.jpg,Senado Federal
senador4763.jpg,Senado Federal
senador4767.jpg,Jefferson Rudy/Agência Senado
senador4786.jpg,Senado Federal
senador4873.jpg,Senado Federal
senador4949.jpg,Senado Federal
senador4969.jpg,Senado Federal
senador4981.jpg,Cléber Medeiros/Supres
senador4988.jpg,Beto Oliveira/Supres
senador4990.jpg,Beto Oliveira/Supres
senador4994.jpg,Beto Oliveira/Supres
senador5000.jpg,Senado Federal
senador5002.jpg,Senado Federal
senador5004.jpg,Cléber Medeiros/Supres
senador5006.jpg,Senado Federal
senador5008.jpg,Cléber Medeiros/Supres
senador5010.jpg,Cléber Medeiros/Supres
senador5012.jpg,Cléber Medeiros/Supres
senador5018.jpg,Senado Federal
senador5020.jpg,Senado Federal
senador5038.jpg,Senado Federal
senador5048.jpg,Senado Federal
senador5052.jpg,Beto Oliveira/Supres
senador5070.jpg,Senado Federal
senador5072.jpg,Senado Federal
senador5100.jpg,Senado Federal
senador5106.jpg,Senado Federal
